date,value
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,55.07
2020/10/5 23:00,57.42
2020/10/5 23:00,57.42
2020/10/5 23:00,71.48
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,59.76
2020/10/5 23:00,58.59
2020/10/5 23:00,58.59
2020/10/5 23:00,58.59
2020/10/5 23:00,58.59
2020/10/5 23:00,58.59
2020/10/5 23:00,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:01,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:02,58.59
2020/10/5 23:03,58.59
2020/10/5 23:03,58.59
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,55.07
2020/10/5 23:03,53.9
2020/10/5 23:03,53.9
2020/10/5 23:03,53.9
2020/10/5 23:03,53.9
2020/10/5 23:03,53.9
2020/10/5 23:03,50.39
2020/10/5 23:03,50.39
2020/10/5 23:03,50.39
2020/10/5 23:03,50.39
2020/10/5 23:03,50.39
2020/10/5 23:03,99.6
2020/10/5 23:03,99.6
2020/10/5 23:03,99.6
2020/10/5 23:03,99.6
2020/10/5 23:04,99.6
2020/10/5 23:04,99.6
